,estacion,linea,desde,hasta,lat,lon,pax_total
6,ALBERTI,A,13:00:00,13:15:00,-34.6098335784398,-58.401207534233,29.519714964370547
67,PIEDRAS,A,13:00:00,13:15:00,-34.608881721215,-58.3790851530908,25.104050049390846
84,BOLIVAR,E,13:00:00,13:15:00,-34.6092424288608,-58.3736842241685,30.683007209062822
98,SAN PEDRITO,A,13:00:00,13:15:00,-34.630707087006,-58.4696396292247,41.80445945945946
274,SAN JUAN,C,13:00:00,13:15:00,-34.6219167322081,-58.3799211788651,35.073877353935295
277,CORRIENTES,H,13:00:00,13:15:00,-34.6044902016081,-58.4054503284842,20.81282886494613
425,INDEPENDENCIA,E,13:00:00,13:15:00,-34.6181255992933,-58.3801736104752,31.85934065934066
566,INDEPENDENCIA,C,13:00:00,13:15:00,-34.6181255992933,-58.3801736104752,24.065310492505354
731,VARELA,E,13:00:00,13:15:00,-34.640137352298,-58.4578917557731,16.15729537366548
744,FACULTAD DE MEDICINA,D,13:00:00,13:15:00,-34.5997570807639,-58.3979237555734,46.928730512249444
838,DORREGO,B,13:00:00,13:15:00,-34.5917181536198,-58.4475730925312,20.478831830654645
861,PUEYRREDON,B,13:00:00,13:15:00,-34.5944257186285,-58.4023953425351,34.36253894080997
924,CATALINAS,E,13:00:00,13:15:00,-34.596596818975,-58.3717003329901,6.412114014251782
998,CARLOS GARDEL,B,13:00:00,13:15:00,-34.6040795173475,-58.4117625996321,38.70927199430875
1008,INDEPENDENCIA,C,13:00:00,13:15:00,-34.6179373939772,-58.3815349417122,24.065310492505354
1059,INDEPENDENCIA,E,13:00:00,13:15:00,-34.6179373939772,-58.3815349417122,31.85934065934066
1337,CALLAO,D,13:00:00,13:15:00,-34.599639552419,-58.3931251809727,53.00414615185281
1515,PUAN,A,13:00:00,13:15:00,-34.6235289528893,-58.4486476540264,33.211217607383745
1528,FLORIDA,B,13:00:00,13:15:00,-34.6032972855775,-58.3750715182636,47.153177395984265
1618,PLAZA ITALIA,D,13:00:00,13:15:00,-34.5814111936045,-58.4211960101264,41.30244063324538
1731,JOSE HERNANDEZ,D,13:00:00,13:15:00,-34.5662152421589,-58.4521256033889,23.126697641172267
1772,RIO DE JANEIRO,A,13:00:00,13:15:00,-34.6152056103312,-58.4295003232997,35.05588822355289
1865,CASTRO BARROS,A,13:00:00,13:15:00,-34.6117702291254,-58.4218156713706,28.713643574828133
1924,RETIRO,C,13:00:00,13:15:00,-34.5911938083332,-58.3740182164816,44.57184124591811
